,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,order_book_id,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
1764,ZNDL,MainBoard,0000-00-00,XSHG,D44,电力、热力生产和供应业,2013-12-19,600023.XSHG,100.0,Utilities,公用事业,Normal,Active,浙能电力,CS
1765,XMXD,MainBoard,0000-00-00,XSHE,F51,批发业,1997-02-26,000701.XSHE,100.0,Industrials,工业,Normal,Active,厦门信达,CS
1766,ATKG,MainBoard,0000-00-00,XSHG,G58,装卸搬运和运输代理业,1998-11-04,600179.XSHG,100.0,Industrials,工业,Normal,Active,安通控股,CS
1767,DZJT,MainBoard,0000-00-00,XSHG,G54,道路运输业,1992-08-07,600611.XSHG,100.0,Industrials,工业,Normal,Active,大众交通,CS
1768,LEHX,SMEBoard,0000-00-00,XSHE,C26,化学原料及化学制品制造业,2008-07-08,002258.XSHE,100.0,Materials,原材料,Normal,Active,利尔化学,CS
1769,JLFD,MainBoard,0000-00-00,XSHG,H61,住宿业,2007-04-06,601007.XSHG,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,金陵饭店,CS
1770,STPT,MainBoard,0000-00-00,XSHG,K70,房地产业,1993-12-06,600696.XSHG,100.0,Financials,金融,ST,Active,ST匹凸,CS
1771,XSGF,SMEBoard,0000-00-00,XSHE,C40,仪器仪表制造业,2017-05-15,002870.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,香山股份,CS
1772,NSD,SMEBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2007-11-13,002180.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,纳思达,CS
1773,SQSP,SMEBoard,0000-00-00,XSHE,C14,食品制造业,2008-02-20,002216.XSHE,100.0,ConsumerStaples,必需消费品,Normal,Active,三全食品,CS
1774,LSRF,GEM,0000-00-00,XSHE,C27,医药制造业,2016-09-13,300534.XSHE,100.0,HealthCare,医疗保健,Normal,Active,陇神戎发,CS
1775,NLGF,MainBoard,0000-00-00,XSHG,C34,通用设备制造业,2015-01-28,603611.XSHG,100.0,Industrials,工业,Normal,Active,诺力股份,CS
1776,WRKJ,SMEBoard,0000-00-00,XSHE,C39,计算机、通信和其他电子设备制造业,2012-02-17,002654.XSHE,100.0,InformationTechnology,信息技术,Normal,Active,万润科技,CS
